Cycle No,Residual Capacity or SOH (Actual),Residual Capacity or SOH(Predicted),Error,%error,max. error(percentage),average error(percentage),prediction formula
1,100,98.76369627,1.236303727,1.236303727,4.116932564,0.287534072,y = - 0.27*z^{7} - 0.51*z^{6} + 1.2*z^{5} + 1.5*z^{4} - 1.3*z^{3} - 0.65*z^{2} - 6.1*z + 90
2,100,98.77109908,1.22890092,1.22890092,,,"where z = (x - 1.2e+03)/6.7e+02 (where x is cycle number), consider only upto 80% residual capacity"
3,100,98.77846594,1.221534058,1.221534058,,,
4,100,98.78579662,1.214203378,1.214203378,,,
5,100,98.79309089,1.206909113,1.206909113,,,
6,100,98.8003485,1.199651497,1.199651497,,,
7,100,98.80756924,1.192430759,1.192430759,,,
8,100,98.81475287,1.185247128,1.185247128,,,
9,100,98.82189917,1.178100827,1.178100827,,,
10,100,98.82900792,1.17099208,1.17099208,,,
11,100,98.83607889,1.163921108,1.163921108,,,
12,100,98.84311187,1.156888128,1.156888128,,,
13,100,98.85010664,1.149893357,1.149893357,,,
14,100,98.85706299,1.142937007,1.142937007,,,
15,100,98.86398071,1.136019291,1.136019291,,,
16,100,98.87085958,1.129140416,1.129140416,,,
17,100,98.87769941,1.12230059,1.12230059,,,
18,100,98.88449998,1.115500017,1.115500017,,,
19,100,98.8912611,1.108738898,1.108738898,,,
20,100,98.89798257,1.102017434,1.102017434,,,
21,100,98.90466418,1.095335822,1.095335822,,,
22,100,98.91130574,1.088694258,1.088694258,,,
23,100,98.91790707,1.082092934,1.082092934,,,
24,100,98.92446796,1.075532041,1.075532041,,,
25,100,98.93098823,1.069011768,1.069011768,,,
26,100,98.9374677,1.062532301,1.062532301,,,
27,100,98.94390618,1.056093825,1.056093825,,,
28,100,98.95030348,1.04969652,1.04969652,,,
29,100,98.95665943,1.043340569,1.043340569,,,
30,100,98.96297385,1.037026147,1.037026147,,,
31,100,98.96924657,1.030753431,1.030753431,,,
32,100,98.97547741,1.024522593,1.024522593,,,
