Cycle No,Residual Capacity(Actual),Residual Capacity(Predicted)
1,100,
2,100,
3,100,
4,100,
5,100,
6,100,
7,100,
8,100,
9,100,
10,100,
11,100,
12,100,
13,100,
14,100,
15,100,
16,100,
17,100,
18,100,
19,100,
20,100,
21,100,
22,100,
23,100,
24,100,
25,100,
26,100,
27,100,
28,100,
29,100,
30,100,
31,100,
32,100,
33,100,
34,100,
35,100,
36,100,
37,100,
38,100,
39,100,
40,100,
41,100,
42,100,
43,100,
44,100,
45,100,
46,100,
47,100,
48,100,
49,100,
50,100,
51,100,
52,100,
53,100,
54,100,
55,100,
56,100,
57,100,
58,100,
59,100,
60,100,
61,100,
62,100,
63,100,
64,100,
65,100,
66,100,
67,100,
68,100,
69,100,
70,100,
71,100,
72,100,
73,100,
74,100,
75,100,
76,100,
77,100,
78,100,
79,100,
80,100,
81,100,
82,100,
83,100,
84,100,
85,100,
86,100,
87,100,
88,100,
89,100,
90,100,
91,100,
92,100,
93,100,
94,100,
95,100,
96,100,
97,100,
98,100,
99,100,
100,100,
101,100,
102,100,
103,100,
104,100,
105,100,
106,100,
107,100,
108,100,
109,100,
110,100,
111,100,
112,100,
113,100,
114,100,
115,100,
116,100,
117,100,
118,100,
119,100,
120,100,
121,100,
122,100,
123,100,
124,100,
125,100,
126,100,
127,100,
128,100,
129,100,
130,100,
131,100,
132,100,
133,100,
134,100,
135,100,
136,100,
137,100,
138,100,
139,100,
140,100,
141,100,
142,100,
143,100,
144,100,
145,100,
146,100,
147,100,
148,100,
149,100,
150,100,
151,100,
152,100,
153,100,
154,100,
155,100,
156,100,
157,100,
158,100,
159,100,
160,100,
161,100,
162,100,
163,100,
164,100,
165,100,
166,100,
167,100,
168,100,
169,100,
170,100,
171,100,
172,100,
173,100,
174,100,
175,100,
176,100,
177,100,
178,100,
179,100,
180,100,
181,100,
182,100,
183,100,
184,100,
185,100,
186,100,
187,100,
188,100,
189,100,
190,100,
191,100,
192,100,
193,100,
194,100,
195,100,
196,100,
197,100,
198,100,
199,100,
200,100,
201,100,
202,100,
203,100,
204,100,
205,100,
206,100,
207,100,
208,100,
209,100,
210,100,
211,100,
212,100,
213,100,
214,100,
215,100,
216,100,
217,100,
218,100,
219,100,
220,100,
221,100,
222,100,
223,100,
224,100,
225,100,
226,100,
227,100,
228,100,
229,100,
230,100,
231,100,
232,100,
233,100,
234,100,
235,100,
236,100,
237,100,
238,100,
239,100,
240,100,
241,99.98,
242,99.96,
243,99.96,
244,99.96,
245,99.95,
246,99.93,
247,99.93,
248,99.93,
249,99.92,
250,99.91,
251,99.9,
252,99.89,
253,99.88,
254,99.86,
255,99.83,
256,99.83,
257,99.82,
258,99.81,
259,99.81,
260,99.8,
261,99.8,
262,99.79,
263,99.76,
264,99.75,
265,99.75,
266,99.73,
267,99.73,
268,99.72,
269,99.7,
270,99.7,
271,99.68,
272,99.64,
273,99.63,
274,99.61,
275,99.61,
276,99.6,
277,99.6,
278,99.6,
279,99.59,
280,99.59,
281,99.58,
282,99.57,
283,99.57,
284,99.56,
285,99.56,
286,99.55,
287,99.55,
288,99.55,
289,99.54,
290,99.52,
291,99.5,
292,99.5,
293,99.49,
294,99.45,
295,99.44,
296,99.44,
297,99.43,
298,99.4,
299,99.37,
300,99.36,
301,99.34,
302,99.34,
303,99.32,
304,99.32,
305,99.3,
306,99.29,
307,99.26,
308,99.25,
309,99.24,
310,99.24,
311,99.23,
312,99.2,
313,99.19,
314,99.17,
315,99.16,
316,99.16,
317,99.14,
318,99.13,
319,99.13,
320,99.12,
321,99.11,
322,99.11,
323,99.11,
324,99.09,
325,99.08,
326,99.07,
327,99.06,
328,99.05,
329,99.04,
330,99.03,
331,99.02,
332,99,
333,98.98,
334,98.98,
335,98.97,
336,98.95,
337,98.92,
338,98.91,
339,98.9,
340,98.87,
341,98.83,
342,98.82,
343,98.82,
344,98.82,
345,98.8,
346,98.8,
347,98.8,
348,98.77,
349,98.77,
350,98.75,
351,98.74,
352,98.73,
353,98.72,
354,98.72,
355,98.71,
356,98.7,
357,98.69,
358,98.69,
359,98.67,
360,98.67,
361,98.66,
362,98.66,
363,98.63,
364,98.61,
365,98.59,
366,98.58,
367,98.57,
368,98.57,
369,98.56,
370,98.55,
371,98.51,
372,98.5,
373,98.49,
374,98.48,
375,98.47,
376,98.47,
377,98.43,
378,98.43,
379,98.4,
380,98.39,
381,98.36,
382,98.36,
383,98.36,
384,98.35,
385,98.34,
386,98.33,
387,98.32,
388,98.32,
389,98.31,
390,98.28,
391,98.28,
392,98.26,
393,98.26,
394,98.26,
395,98.24,
396,98.24,
397,98.22,
398,98.22,
399,98.21,
400,98.2,
401,98.2,
402,98.19,
403,98.19,
404,98.15,
405,98.14,
406,98.13,
407,98.11,
408,98.09,
409,98.08,
410,98.06,
411,98.05,
412,98.04,
413,98.02,
414,97.98,
415,97.98,
416,97.98,
417,97.97,
418,97.96,
419,97.96,
420,97.95,
421,97.92,
422,97.92,
423,97.92,
424,97.91,
425,97.88,
426,97.87,
427,97.86,
428,97.86,
429,97.85,
430,97.84,
431,97.83,
432,97.82,
433,97.79,
434,97.79,
435,97.78,
436,97.77,
437,97.76,
438,97.76,
439,97.75,
440,97.74,
441,97.74,
442,97.71,
443,97.7,
444,97.7,
445,97.68,
446,97.68,
447,97.65,
448,97.65,
449,97.64,
450,97.61,
451,97.61,
452,97.59,
453,97.57,
454,97.55,
455,97.55,
456,97.54,
457,97.52,
458,97.51,
459,97.5,
460,97.49,
461,97.49,
462,97.46,
463,97.45,
464,97.43,
465,97.42,
466,97.42,
467,97.42,
468,97.41,
469,97.41,
470,97.39,
471,97.38,
472,97.36,
473,97.35,
474,97.33,
475,97.33,
476,97.33,
477,97.32,
478,97.3,
479,97.29,
480,97.29,
481,97.27,
482,97.26,
483,97.22,
484,97.2,
485,97.2,
486,97.2,
487,97.18,
488,97.16,
489,97.16,
490,97.15,
491,97.14,
492,97.14,
493,97.14,
494,97.12,
495,97.12,
496,97.1,
497,97.1,
498,97.08,
499,97.07,
500,97.06,
501,97.05,
502,97.03,
503,97.01,
504,97,
505,97,
506,96.98,
507,96.97,
508,96.97,
509,96.95,
510,96.92,
511,96.91,
512,96.9,
513,96.89,
514,96.88,
515,96.87,
516,96.87,
517,96.87,
518,96.86,
519,96.86,
520,96.85,
521,96.83,
522,96.8,
523,96.79,
524,96.77,
525,96.76,
526,96.76,
527,96.75,
528,96.75,
529,96.74,
530,96.7,
531,96.7,
532,96.69,
533,96.66,
534,96.66,
535,96.65,
536,96.65,
537,96.64,
538,96.64,
539,96.6,
540,96.6,
541,96.59,
542,96.58,
543,96.57,
544,96.55,
545,96.55,
546,96.55,
547,96.55,
548,96.54,
549,96.53,
550,96.5,
551,96.49,
552,96.46,
553,96.43,
554,96.43,
555,96.43,
556,96.43,
557,96.42,
558,96.42,
559,96.38,
560,96.37,
561,96.34,
562,96.34,
563,96.34,
564,96.34,
565,96.33,
566,96.32,
567,96.32,
568,96.3,
569,96.3,
570,96.29,
571,96.29,
572,96.24,
573,96.24,
574,96.23,
575,96.22,
576,96.22,
577,96.2,
578,96.2,
579,96.17,
580,96.16,
581,96.16,
582,96.13,
583,96.13,
584,96.11,
585,96.1,
586,96.09,
587,96.09,
588,96.08,
589,96.04,
590,96.01,
591,96.01,
592,96.01,
593,96,
594,95.98,
595,95.98,
596,95.98,
597,95.97,
598,95.97,
599,95.94,
600,95.94,
601,95.93,
602,95.92,
603,95.91,
604,95.9,
605,95.89,
606,95.88,
607,95.88,
608,95.86,
609,95.86,
610,95.82,
611,95.82,
612,95.8,
613,95.79,
614,95.79,
615,95.78,
616,95.77,
617,95.76,
618,95.75,
619,95.75,
620,95.74,
621,95.72,
622,95.72,
623,95.71,
624,95.7,
625,95.69,
626,95.65,
627,95.64,
628,95.64,
629,95.6,
630,95.6,
631,95.59,
632,95.57,
633,95.56,
634,95.55,
635,95.53,
636,95.52,
637,95.52,
638,95.52,
639,95.51,
640,95.51,
641,95.5,
642,95.5,
643,95.49,
644,95.47,
645,95.44,
646,95.43,
647,95.43,
648,95.42,
649,95.41,
650,95.4,
651,95.4,
652,95.39,
653,95.39,
654,95.38,
655,95.36,
656,95.35,
657,95.34,
658,95.33,
659,95.32,
660,95.31,
661,95.31,
662,95.3,
663,95.3,
664,95.22,
665,95.22,
666,95.22,
667,95.22,
668,95.21,
669,95.21,
670,95.21,
671,95.19,
672,95.15,
673,95.15,
674,95.15,
675,95.14,
676,95.13,
677,95.12,
678,95.11,
679,95.1,
680,95.09,
681,95.08,
682,95.06,
683,95.03,
684,95.02,
685,95.02,
686,95.02,
687,95.01,
688,95.01,
689,95.01,
690,94.99,
691,94.99,
692,94.98,
693,94.97,
694,94.96,
695,94.95,
696,94.94,
697,94.93,
698,94.93,
699,94.92,
700,94.89,
701,94.88,
702,94.86,
703,94.85,
704,94.84,
705,94.83,
706,94.83,
707,94.81,
708,94.8,
709,94.8,
710,94.8,
711,94.77,
712,94.75,
713,94.75,
714,94.74,
715,94.72,
716,94.72,
717,94.7,
718,94.69,
719,94.68,
720,94.68,
721,94.66,
722,94.65,
723,94.64,
724,94.63,
725,94.63,
726,94.61,
727,94.6,
728,94.6,
729,94.59,
730,94.59,
731,94.59,
732,94.58,
733,94.56,
734,94.56,
735,94.55,
736,94.53,
737,94.53,
738,94.53,
739,94.51,
740,94.48,
741,94.48,
742,94.46,
743,94.46,
744,94.46,
745,94.44,
746,94.43,
747,94.41,
748,94.41,
749,94.41,
750,94.38,
751,94.38,
752,94.35,
753,94.34,
754,94.33,
755,94.33,
756,94.32,
757,94.3,
758,94.29,
759,94.28,
760,94.28,
761,94.28,
762,94.26,
763,94.24,
764,94.22,
765,94.22,
766,94.19,
767,94.19,
768,94.18,
769,94.17,
770,94.17,
771,94.16,
772,94.16,
773,94.15,
774,94.14,
775,94.14,
776,94.13,
777,94.13,
778,94.12,
779,94.12,
780,94.09,
781,94.09,
782,94.09,
783,94.07,
784,94.06,
785,94.06,
786,94.04,
787,94.03,
788,94.03,
789,94.01,
790,93.99,
791,93.98,
792,93.97,
793,93.95,
794,93.94,
795,93.93,
796,93.93,
797,93.93,
798,93.92,
799,93.9,
800,93.89,
801,93.88,
802,93.84,
803,93.84,
804,93.83,
805,93.83,
806,93.82,
807,93.8,
808,93.78,
809,93.78,
810,93.77,
811,93.76,
812,93.76,
813,93.74,
814,93.73,
815,93.73,
816,93.72,
817,93.72,
818,93.71,
819,93.7,
820,93.7,
821,93.69,
822,93.65,
823,93.65,
824,93.65,
825,93.65,
826,93.65,
827,93.63,
828,93.61,
829,93.61,
830,93.59,
831,93.59,
832,93.57,
833,93.54,
834,93.54,
835,93.54,
836,93.54,
837,93.54,
838,93.53,
839,93.52,
840,93.51,
841,93.48,
842,93.46,
843,93.46,
844,93.46,
845,93.46,
846,93.45,
847,93.41,
848,93.41,
849,93.4,
850,93.37,
851,93.37,
852,93.36,
853,93.34,
854,93.34,
855,93.33,
856,93.33,
857,93.32,
858,93.31,
859,93.3,
860,93.29,
861,93.29,
862,93.28,
863,93.28,
864,93.27,
865,93.27,
866,93.24,
867,93.23,
868,93.22,
869,93.2,
870,93.18,
871,93.17,
872,93.17,
873,93.17,
874,93.15,
875,93.15,
876,93.14,
877,93.14,
878,93.13,
879,93.13,
880,93.11,
881,93.1,
882,93.09,
883,93.08,
884,93.06,
885,93.05,
886,93.03,
887,93.03,
888,93.03,
889,92.99,
890,92.97,
891,92.97,
892,92.97,
893,92.95,
894,92.95,
895,92.95,
896,92.94,
897,92.93,
898,92.93,
899,92.92,
900,92.9,
901,92.89,
902,92.89,
903,92.87,
904,92.87,
905,92.86,
906,92.85,
907,92.84,
908,92.81,
909,92.8,
910,92.79,
911,92.78,
912,92.78,
913,92.77,
914,92.77,
915,92.76,
916,92.76,
917,92.75,
918,92.74,
919,92.73,
920,92.72,
921,92.71,
922,92.71,
923,92.7,
924,92.69,
925,92.66,
926,92.64,
927,92.64,
928,92.62,
929,92.61,
930,92.61,
931,92.61,
932,92.57,
933,92.57,
934,92.57,
935,92.55,
936,92.54,
937,92.53,
938,92.53,
939,92.52,
940,92.51,
941,92.51,
942,92.51,
943,92.48,
944,92.47,
945,92.45,
946,92.44,
947,92.43,
948,92.43,
949,92.39,
950,92.38,
951,92.37,
952,92.37,
953,92.37,
954,92.36,
955,92.35,
956,92.34,
957,92.34,
958,92.34,
959,92.33,
960,92.33,
961,92.32,
962,92.31,
963,92.3,
964,92.29,
965,92.28,
966,92.27,
967,92.25,
968,92.25,
969,92.25,
970,92.22,
971,92.2,
972,92.19,
973,92.19,
974,92.18,
975,92.17,
976,92.17,
977,92.16,
978,92.13,
979,92.13,
980,92.13,
981,92.11,
982,92.1,
983,92.09,
984,92.09,
985,92.07,
986,92.06,
987,92.03,
988,92.02,
989,92.01,
990,92.01,
991,92,
992,92,
993,91.98,
994,91.98,
995,91.97,
996,91.96,
997,91.94,
998,91.94,
999,91.94,
1000,91.93,
1001,91.92,
1002,91.89,
1003,91.89,
1004,91.88,
1005,91.85,
1006,91.84,
1007,91.83,
1008,91.83,
1009,91.83,
1010,91.82,
1011,91.81,
1012,91.79,
1013,91.79,
1014,91.79,
1015,91.79,
1016,91.77,
1017,91.76,
1018,91.76,
1019,91.75,
1020,91.74,
1021,91.74,
1022,91.73,
1023,91.71,
1024,91.69,
1025,91.68,
1026,91.66,
1027,91.66,
1028,91.64,
1029,91.64,
1030,91.62,
1031,91.61,
1032,91.61,
1033,91.6,
1034,91.59,
1035,91.56,
1036,91.56,
1037,91.56,
1038,91.54,
1039,91.54,
1040,91.53,
1041,91.51,
1042,91.5,
1043,91.49,
1044,91.49,
1045,91.48,
1046,91.47,
1047,91.46,
1048,91.46,
1049,91.45,
1050,91.44,
